name,notes
PSC_ACCZ_NTF,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_P,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_PDMX,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_SMAX,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ANGLE_MAX,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_JERK_XY,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_JERK_Z,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_POSXY_P,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_POSZ_P,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELXY_D,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELXY_FF,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELXY_FLTD,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELXY_FLTE,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELXY_I,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELXY_IMAX,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELXY_P,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELZ_D,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELZ_FF,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELZ_FLTD,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELZ_FLTE,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELZ_I,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELZ_IMAX,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_VELZ_P,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
RALLY_TOTAL,NOT SEEDED - runtime-managed; deliberately omitted from defaults.parm so a fresh board does not inherit stale state
RC10_OPTION,wheel pitch
RC11_OPTION,camera trigger
RC12_OPTION,mount lock
RC1_REVERSED,"Roll/pitch/throttle/yaw channel reversal - @READONLY because a flipped primary control channel is immediately unflyable and there is no pre-arm check that would catch it (0 and 1 are both valid values). RC1-4 MIN/MAX/TRIM/DZ are deliberately left writable so the normal GCS radio calibration sweep still works; reversal is a separate manual toggle in MP/QGC, not part of that sweep, so locking it does not break calibration. If a customer transmitter genuinely has an inverted channel the fix belongs on the transmitter, not in the flight controller. RC5-8_REVERSED are locked on the same reasoning; RC9-RC16_REVERSED remain writable (payload/gimbal channels)."
RC2_REVERSED,"Roll/pitch/throttle/yaw channel reversal - @READONLY because a flipped primary control channel is immediately unflyable and there is no pre-arm check that would catch it (0 and 1 are both valid values). RC1-4 MIN/MAX/TRIM/DZ are deliberately left writable so the normal GCS radio calibration sweep still works; reversal is a separate manual toggle in MP/QGC, not part of that sweep, so locking it does not break calibration. If a customer transmitter genuinely has an inverted channel the fix belongs on the transmitter, not in the flight controller. RC5-8_REVERSED are locked on the same reasoning; RC9-RC16_REVERSED remain writable (payload/gimbal channels)."
RC3_REVERSED,"Roll/pitch/throttle/yaw channel reversal - @READONLY because a flipped primary control channel is immediately unflyable and there is no pre-arm check that would catch it (0 and 1 are both valid values). RC1-4 MIN/MAX/TRIM/DZ are deliberately left writable so the normal GCS radio calibration sweep still works; reversal is a separate manual toggle in MP/QGC, not part of that sweep, so locking it does not break calibration. If a customer transmitter genuinely has an inverted channel the fix belongs on the transmitter, not in the flight controller. RC5-8_REVERSED are locked on the same reasoning; RC9-RC16_REVERSED remain writable (payload/gimbal channels)."
RC4_REVERSED,"Roll/pitch/throttle/yaw channel reversal - @READONLY because a flipped primary control channel is immediately unflyable and there is no pre-arm check that would catch it (0 and 1 are both valid values). RC1-4 MIN/MAX/TRIM/DZ are deliberately left writable so the normal GCS radio calibration sweep still works; reversal is a separate manual toggle in MP/QGC, not part of that sweep, so locking it does not break calibration. If a customer transmitter genuinely has an inverted channel the fix belongs on the transmitter, not in the flight controller. RC5-8_REVERSED are locked on the same reasoning; RC9-RC16_REVERSED remain writable (payload/gimbal channels)."
RC5_OPTION,now alt hold
RC5_REVERSED,"Mode-switch channel reversal - @READONLY. These four channels carry the flight mode switches (RC5_OPTION 70 alt hold, RC6_OPTION 56 loiter, RC7_OPTION 4 RTL, RC8_OPTION 16 Auto), and those _OPTION assignments are already locked. Leaving REVERSED writable left a gap: flipping it inverts which switch position selects the mode, so the pilot reaching for RTL would get the opposite. Same class of problem as RC1-4 and closed for the same reason. RC9-RC16_REVERSED remain writable - those are payload/gimbal channels (wheel yaw, wheel pitch, camera trigger, mount lock), where a reversal is an annoyance rather than a flight-safety issue."
RC6_OPTION,now loiter
RC6_REVERSED,"Mode-switch channel reversal - @READONLY. These four channels carry the flight mode switches (RC5_OPTION 70 alt hold, RC6_OPTION 56 loiter, RC7_OPTION 4 RTL, RC8_OPTION 16 Auto), and those _OPTION assignments are already locked. Leaving REVERSED writable left a gap: flipping it inverts which switch position selects the mode, so the pilot reaching for RTL would get the opposite. Same class of problem as RC1-4 and closed for the same reason. RC9-RC16_REVERSED remain writable - those are payload/gimbal channels (wheel yaw, wheel pitch, camera trigger, mount lock), where a reversal is an annoyance rather than a flight-safety issue."
RC7_OPTION,now RTL
RC7_REVERSED,"Mode-switch channel reversal - @READONLY. These four channels carry the flight mode switches (RC5_OPTION 70 alt hold, RC6_OPTION 56 loiter, RC7_OPTION 4 RTL, RC8_OPTION 16 Auto), and those _OPTION assignments are already locked. Leaving REVERSED writable left a gap: flipping it inverts which switch position selects the mode, so the pilot reaching for RTL would get the opposite. Same class of problem as RC1-4 and closed for the same reason. RC9-RC16_REVERSED remain writable - those are payload/gimbal channels (wheel yaw, wheel pitch, camera trigger, mount lock), where a reversal is an annoyance rather than a flight-safety issue."
RC8_OPTION,now Auto
RC8_REVERSED,"Mode-switch channel reversal - @READONLY. These four channels carry the flight mode switches (RC5_OPTION 70 alt hold, RC6_OPTION 56 loiter, RC7_OPTION 4 RTL, RC8_OPTION 16 Auto), and those _OPTION assignments are already locked. Leaving REVERSED writable left a gap: flipping it inverts which switch position selects the mode, so the pilot reaching for RTL would get the opposite. Same class of problem as RC1-4 and closed for the same reason. RC9-RC16_REVERSED remain writable - those are payload/gimbal channels (wheel yaw, wheel pitch, camera trigger, mount lock), where a reversal is an annoyance rather than a flight-safety issue."
RC9_OPTION,wheel - yaw
STAT_BOOTCNT,NOT SEEDED - runtime-managed; deliberately omitted from defaults.parm so a fresh board does not inherit stale state
STAT_FLTTIME,NOT SEEDED - runtime-managed; deliberately omitted from defaults.parm so a fresh board does not inherit stale state
STAT_RESET,NOT SEEDED - runtime-managed; deliberately omitted from defaults.parm so a fresh board does not inherit stale state
STAT_RUNTIME,NOT SEEDED - runtime-managed; deliberately omitted from defaults.parm so a fresh board does not inherit stale state
